! radius
! arcsec   MEAN         MAG      MAGCORR  LUM
!===================================================
  161.00  1344.48499   20.8443   21.5134   65.3790
  162.00  1343.13074   20.8566   21.5257   64.6399
  163.00  1342.11267   20.8660   21.5351   64.0842
  164.00  1342.40137   20.8633   21.5325   64.2418
  165.00  1342.15234   20.8656   21.5348   64.1058
  166.00  1339.84766   20.8872   21.5563   62.8479
  167.00  1339.37964   20.8916   21.5607   62.5925
  168.00  1339.22974   20.8930   21.5621   62.5107
  169.00  1339.18127   20.8935   21.5626   62.4842
  170.00  1337.41211   20.9104   21.5795   61.5186
  171.00  1336.93030   20.9150   21.5841   61.2556
  172.00  1337.58203   20.9087   21.5778   61.6114
  173.00  1338.03870   20.9044   21.5735   61.8606
  174.00  1337.09924   20.9134   21.5825   61.3479
  175.00  1335.14221   20.9325   21.6016   60.2797
  176.00  1334.28735   20.9409   21.6100   59.8131
  177.00  1333.35754   20.9502   21.6193   59.3056
  178.00  1331.85925   20.9652   21.6343   58.4878
  179.00  1330.35327   20.9806   21.6497   57.6659
  180.00  1329.29175   20.9916   21.6607   57.0865
  181.00  1329.85242   20.9858   21.6549   57.3925
  182.00  1328.89587   20.9957   21.6648   56.8704
  183.00  1328.34570   21.0014   21.6705   56.5701
  184.00  1329.53235   20.9891   21.6582   57.2178
  185.00  1331.97559   20.9640   21.6332   58.5513
  186.00  1333.45483   20.9492   21.6183   59.3587
  187.00  1328.88660   20.9958   21.6649   56.8654
  188.00  1325.52722   21.0314   21.7005   55.0318
  189.00  1323.79199   21.0502   21.7193   54.0847
  190.00  1323.22534   21.0564   21.7255   53.7754
  191.00  1324.58167   21.0416   21.7107   54.5157
  192.00  1339.02441   20.8950   21.5641   62.3986
  193.00  1348.29004   20.8103   21.4795   67.4558
  194.00  1334.20178   20.9417   21.6109   59.7664
  195.00  1323.60413   21.0523   21.7214   53.9822
  196.00  1321.49561   21.0757   21.7448   52.8313
  197.00  1319.64270   21.0966   21.7658   51.8200
  198.00  1319.15112   21.1023   21.7714   51.5517
  199.00  1317.60120   21.1202   21.7894   50.7058
  200.00  1316.38635   21.1345   21.8036   50.0427
  201.00  1315.57483   21.1442   21.8133   49.5998
  202.00  1315.17578   21.1490   21.8181   49.3820
  203.00  1314.14136   21.1615   21.8306   48.8174
  204.00  1313.91382   21.1642   21.8333   48.6932
  205.00  1313.98914   21.1633   21.8324   48.7343
  206.00  1311.82007   21.1900   21.8591   47.5504
  207.00  1310.28784   21.2093   21.8784   46.7141
  208.00  1309.70007   21.2168   21.8859   46.3933
  209.00  1308.91785   21.2268   21.8959   45.9664
  210.00  1308.63110   21.2305   21.8996   45.8099
  211.00  1308.30298   21.2347   21.9039   45.6308
  212.00  1308.51453   21.2320   21.9011   45.7462
  213.00  1308.39502   21.2336   21.9027   45.6810
  214.00  1307.98596   21.2389   21.9080   45.4577
  215.00  1308.14270   21.2368   21.9059   45.5433
  216.00  1306.91663   21.2529   21.9220   44.8741
  217.00  1306.26721   21.2615   21.9306   44.5196
  218.00  1306.84375   21.2539   21.9230   44.8343
  219.00  1306.74390   21.2552   21.9243   44.7798
  220.00  1305.59265   21.2705   21.9396   44.1515
  221.00  1304.99329   21.2786   21.9477   43.8243
  222.00  1307.16406   21.2496   21.9187   45.0091
  223.00  1307.77490   21.2416   21.9107   45.3425
  224.00  1305.02783   21.2781   21.9472   43.8432
  225.00  1304.34888   21.2874   21.9565   43.4726
  226.00  1302.95544   21.3065   21.9756   42.7121
  227.00  1302.64978   21.3108   21.9799   42.5452
  228.00  1303.00537   21.3058   21.9749   42.7393
  229.00  1301.98706   21.3200   21.9891   42.1835
  230.00  1301.75928   21.3232   21.9923   42.0592
  231.00  1301.88184   21.3215   21.9906   42.1261
  232.00  1302.22131   21.3167   21.9859   42.3114
  233.00  1304.26184   21.2885   21.9576   43.4251
  234.00  1303.61938   21.2973   21.9665   43.0744
  235.00  1299.35022   21.3577   22.0268   40.7443
  236.00  1299.11328   21.3612   22.0303   40.6150
  237.00  1297.67371   21.3824   22.0515   39.8293
  238.00  1296.39600   21.4016   22.0707   39.1319
  239.00  1296.10388   21.4060   22.0751   38.9725
  240.00  1296.17236   21.4050   22.0741   39.0098
  241.00  1296.52856   21.3996   22.0687   39.2043
  242.00  1295.09668   21.4214   22.0905   38.4227
  243.00  1293.27820   21.4498   22.1189   37.4302
  244.00  1292.47791   21.4626   22.1317   36.9934
  245.00  1292.14124   21.4680   22.1371   36.8096
  246.00  1291.63477   21.4762   22.1453   36.5332
  247.00  1292.12756   21.4682   22.1373   36.8022
  248.00  1291.60669   21.4766   22.1457   36.5179
  249.00  1291.61719   21.4765   22.1456   36.5236
  250.00  1290.63977   21.4924   22.1615   35.9901
  251.00  1290.65063   21.4923   22.1614   35.9961
  252.00  1290.13452   21.5008   22.1699   35.7144
  253.00  1288.62793   21.5261   22.1952   34.8921
  254.00  1287.93616   21.5379   22.2070   34.5145
  255.00  1287.10901   21.5522   22.2213   34.0630
  256.00  1285.64990   21.5779   22.2470   33.2666
  257.00  1285.23474   21.5853   22.2544   33.0400
  258.00  1285.45959   21.5813   22.2504   33.1628
  259.00  1284.48303   21.5989   22.2680   32.6298
  260.00  1283.36926   21.6193   22.2884   32.0219
  261.00  1283.23267   21.6218   22.2909   31.9473
  262.00  1282.57812   21.6340   22.3031   31.5901
  263.00  1281.73706   21.6499   22.3190   31.1310
  264.00  1281.41382   21.6561   22.3252   30.9546
  265.00  1280.61292   21.6715   22.3406   30.5174
  266.00  1279.86133   21.6862   22.3553   30.1072
  267.00  1279.71826   21.6890   22.3581   30.0291
  268.00  1279.31458   21.6970   22.3661   29.8088
  269.00  1278.39551   21.7155   22.3846   29.3072
  270.00  1277.60571   21.7315   22.4007   28.8761
  271.00  1277.18030   21.7403   22.4094   28.6439
  272.00  1276.92712   21.7456   22.4147   28.5057
  273.00  1276.46936   21.7551   22.4242   28.2559
  274.00  1276.10718   21.7627   22.4319   28.0582
  275.00  1276.08008   21.7633   22.4324   28.0434
  276.00  1275.97839   21.7655   22.4346   27.9879
  277.00  1275.65259   21.7724   22.4415   27.8101
  278.00  1275.34155   21.7790   22.4481   27.6403
  279.00  1274.62964   21.7944   22.4635   27.2518
  280.00  1274.27747   21.8021   22.4712   27.0595
  281.00  1274.49341   21.7974   22.4665   27.1774
  282.00  1274.94373   21.7876   22.4567   27.4232
  283.00  1275.61938   21.7731   22.4422   27.7920
  284.00  1274.50415   21.7971   22.4662   27.1833
  285.00  1273.02686   21.8298   22.4989   26.3770
  286.00  1272.84253   21.8340   22.5031   26.2763
  287.00  1272.47021   21.8424   22.5115   26.0731
  288.00  1271.98889   21.8534   22.5225   25.8104
  289.00  1271.45642   21.8657   22.5348   25.5198
  290.00  1271.25745   21.8703   22.5394   25.4112
  291.00  1271.07935   21.8745   22.5436   25.3140
  292.00  1271.10730   21.8738   22.5429   25.3292
  293.00  1271.86877   21.8562   22.5253   25.7449
  294.00  1271.38330   21.8674   22.5365   25.4799
  295.00  1270.71313   21.8831   22.5522   25.1141
  296.00  1270.77539   21.8816   22.5507   25.1481
  297.00  1270.64648   21.8847   22.5538   25.0777
  298.00  1270.95093   21.8775   22.5466   25.2439
  299.00  1272.27295   21.8469   22.5160   25.9655
  300.00  1271.84717   21.8567   22.5258   25.7331
  301.00  1270.54822   21.8870   22.5561   25.0241
  302.00  1269.65820   21.9083   22.5774   24.5383
  303.00  1270.13257   21.8969   22.5660   24.7972
  304.00  1270.55566   21.8868   22.5559   25.0282
  305.00  1269.72815   21.9066   22.5757   24.5765
  306.00  1269.16309   21.9203   22.5894   24.2681
  307.00  1269.01855   21.9238   22.5929   24.1892
  308.00  1268.92603   21.9261   22.5952   24.1387
  309.00  1269.20239   21.9193   22.5885   24.2895
  310.00  1268.76135   21.9302   22.5993   24.0488
  311.00  1268.46741   21.9374   22.6065   23.8884
  312.00  1268.67358   21.9323   22.6014   24.0009
  313.00  1268.12183   21.9460   22.6151   23.6998
  314.00  1267.40564   21.9641   22.6332   23.3089
  315.00  1268.31018   21.9413   22.6104   23.8026
  316.00  1269.07922   21.9224   22.5915   24.2223
  317.00  1267.21094   21.9690   22.6382   23.2026
  318.00  1265.94470   22.0019   22.6710   22.5115
  319.00  1265.39648   22.0164   22.6855   22.2123
  320.00  1265.33203   22.0181   22.6872   22.1771
  321.00  1265.97900   22.0010   22.6701   22.5302
  322.00  1265.65698   22.0095   22.6786   22.3544
  323.00  1264.42810   22.0426   22.7117   21.6837
  324.00  1263.88220   22.0576   22.7267   21.3858
  325.00  1263.44897   22.0696   22.7388   21.1493
