"Time [min]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","TMRM  (A) [µM]","TMRM  (B) [µM]","mtMPrel (A)  [au]","mtMPrel  (B)  [au]"
6.00,"LOff, Cort hom, Cort mito","Both, Left, Right","Light off, , ",177.2541,11.9686,177.4894,-4.7092,0.0036,-0.0408,-0.0004,-0.0009
6.03,"","","",177.2450,12.2427,177.4173,-4.1326,0.0037,-0.0406,-0.0004,-0.0008
6.07,"","","",177.2724,12.4254,177.3597,-3.4118,0.0036,-0.0406,-0.0004,-0.0007
6.10,"","","",177.2770,12.5625,177.3452,-2.6429,0.0036,-0.0405,-0.0004,-0.0007
6.13,"","","",177.2633,12.6995,177.3308,-1.8741,0.0036,-0.0405,-0.0004,-0.0007
6.17,"","","",177.2724,12.6995,177.2924,-1.0091,0.0036,-0.0405,-0.0004,-0.0007
6.20,"","","",177.2633,12.6081,177.2539,-0.0961,0.0035,-0.0405,-0.0005,-0.0007
6.23,"","","",177.2267,12.5168,177.2636,0.7208,0.0036,-0.0405,-0.0005,-0.0007
6.27,"","","",177.2359,12.2884,177.2828,1.5377,0.0036,-0.0404,-0.0004,-0.0006
6.30,"","","",177.2724,11.8772,177.3164,2.2585,0.0036,-0.0404,-0.0005,-0.0006
6.33,"","","",177.2861,11.4204,177.2972,3.0754,0.0037,-0.0405,-0.0004,-0.0007
6.37,"","","",177.2496,10.8722,177.2347,3.8923,0.0036,-0.0404,-0.0004,-0.0007
6.40,"","","",177.2678,10.2327,177.1915,4.8053,0.0037,-0.0405,-0.0004,-0.0007
6.43,"","","",177.2724,9.4561,177.1867,5.6703,0.0037,-0.0405,-0.0004,-0.0007
6.47,"","","",177.2953,8.6338,177.1819,6.4391,0.0034,-0.0404,-0.0006,-0.0006
6.50,"","","",177.3181,7.6288,177.1771,7.1119,0.0035,-0.0403,-0.0005,-0.0006
6.53,"","","",177.2861,6.5325,177.1867,7.7846,0.0035,-0.0403,-0.0005,-0.0006
6.57,"","","",177.2770,5.8929,177.1771,8.4093,0.0035,-0.0402,-0.0005,-0.0005
6.60,"","","",177.2815,5.1164,177.1675,8.9860,0.0037,-0.0402,-0.0004,-0.0006
6.63,"","","",177.2815,4.3398,177.1819,9.5145,0.0036,-0.0401,-0.0004,-0.0005
6.67,"","","",177.2770,3.6545,177.1723,10.0431,0.0038,-0.0402,-0.0004,-0.0006
6.70,"","","",177.2633,3.0607,177.1723,10.4276,0.0037,-0.0402,-0.0004,-0.0006
6.73,"","","",177.2404,2.6039,177.1626,10.7159,0.0037,-0.0401,-0.0004,-0.0005
6.77,"","","",177.2496,2.2384,177.1578,10.9081,0.0037,-0.0401,-0.0004,-0.0005
6.80,"","","",177.2633,1.9643,177.1723,11.1003,0.0037,-0.0401,-0.0004,-0.0005
6.83,"","","",177.2724,1.6445,177.1963,11.1483,0.0037,-0.0401,-0.0004,-0.0005
6.87,"","","",177.2998,1.3248,177.2059,11.1003,0.0037,-0.0400,-0.0004,-0.0005
6.90,"","","",177.3181,1.0050,177.2107,11.0042,0.0037,-0.0399,-0.0004,-0.0004
6.93,"","","",177.3044,0.7766,177.2395,10.6678,0.0038,-0.0400,-0.0004,-0.0005
6.97,"","","",177.2907,0.5939,177.2491,10.1392,0.0037,-0.0399,-0.0004,-0.0004
7.00,"","","",177.2953,0.3655,177.2251,9.5626,0.0035,-0.0399,-0.0005,-0.0004
7.03,"","","",177.2998,0.1370,177.2155,8.7937,0.0036,-0.0399,-0.0004,-0.0004
7.07,"","","",177.3181,-0.0914,177.2395,7.8807,0.0038,-0.0399,-0.0004,-0.0004
7.10,"","","",177.3364,-0.3198,177.2443,6.8716,0.0038,-0.0398,-0.0004,-0.0003
7.13,"","","",177.3318,-0.5482,177.2588,5.8144,0.0039,-0.0399,-0.0003,-0.0004
7.17,"","","",177.3090,-0.6852,177.3116,4.5651,0.0038,-0.0398,-0.0004,-0.0003
7.20,"","","",177.3044,-0.6852,177.3356,3.1715,0.0038,-0.0399,-0.0004,-0.0004
7.23,"","","",177.3409,-0.7309,177.3116,2.3066,0.0038,-0.0398,-0.0004,-0.0003
7.27,"","","",177.3592,-0.8680,177.3068,1.5858,0.0037,-0.0399,-0.0004,-0.0004
7.30,"","","",177.3820,-1.0507,177.2876,0.9611,0.0036,-0.0399,-0.0004,-0.0004
7.33,"","","",177.3958,-1.1877,177.2972,0.3844,0.0037,-0.0399,-0.0004,-0.0004
7.37,"","","",177.4140,-1.3248,177.3356,-0.0961,0.0037,-0.0397,-0.0004,-0.0003
7.40,"","","",177.3958,-1.5075,177.3452,-0.4805,0.0038,-0.0398,-0.0003,-0.0003
7.43,"","","",177.3592,-1.5532,177.3068,-0.8169,0.0038,-0.0397,-0.0004,-0.0003
7.47,"","","",177.3683,-1.6445,177.2684,-1.0091,0.0037,-0.0398,-0.0004,-0.0003
7.50,"","","",177.3455,-1.6445,177.2539,-1.1533,0.0037,-0.0397,-0.0004,-0.0003
7.53,"","","",177.3135,-1.5989,177.2588,-1.2013,0.0037,-0.0398,-0.0004,-0.0003
7.57,"","","",177.3546,-1.5075,177.2828,-1.3455,0.0038,-0.0399,-0.0004,-0.0004
7.60,"","","",177.3775,-1.5075,177.2684,-1.4897,0.0037,-0.0398,-0.0004,-0.0003
7.63,"","","",177.3866,-1.5532,177.2395,-1.6338,0.0039,-0.0399,-0.0003,-0.0004
7.67,"","","",177.3958,-1.6902,177.2588,-1.7780,0.0039,-0.0399,-0.0003,-0.0004
7.70,"","","",177.4140,-1.7359,177.3164,-1.9221,0.0039,-0.0398,-0.0003,-0.0003
7.73,"","","",177.4186,-1.7816,177.3597,-2.0663,0.0038,-0.0396,-0.0003,-0.0003
7.77,"","","",177.3820,-1.7816,177.3308,-2.1143,0.0039,-0.0397,-0.0003,-0.0003
7.80,"","","",177.3683,-1.7816,177.2828,-2.0182,0.0040,-0.0395,-0.0002,-0.0002
7.83,"","","",177.3638,-1.8273,177.2972,-1.9702,0.0038,-0.0397,-0.0003,-0.0003
7.87,"","","",177.3866,-1.8729,177.3020,-1.9702,0.0040,-0.0397,-0.0002,-0.0003
7.90,"","","",177.3912,-1.8729,177.2876,-1.8741,0.0040,-0.0396,-0.0002,-0.0003
7.93,"","","",177.3683,-1.8273,177.2924,-1.7299,0.0041,-0.0396,-0.0002,-0.0002
7.97,"","","",177.3820,-1.7816,177.3212,-1.7299,0.0040,-0.0395,-0.0002,-0.0002
8.00,"","","",177.4140,-1.7816,177.3404,-1.6819,0.0041,-0.0396,-0.0002,-0.0003
8.03,"","","",177.4095,-1.7359,177.3404,-1.6338,0.0041,-0.0395,-0.0002,-0.0002
8.07,"","","",177.3820,-1.5989,177.3741,-1.5858,0.0042,-0.0395,-0.0002,-0.0002
8.10,"","","",177.3090,-1.3248,177.4125,-1.5858,0.0043,-0.0395,-0.0001,-0.0002
8.13,"","","",177.2724,-1.0050,177.4029,-1.5858,0.0043,-0.0396,-0.0001,-0.0002
8.17,"","","",177.2678,-0.6852,177.3741,-1.5858,0.0043,-0.0396,-0.0001,-0.0003
8.20,"","","",177.2496,-0.4111,177.3549,-1.5377,0.0043,-0.0395,-0.0001,-0.0002
8.23,"","","",177.2815,-0.2284,177.3597,-1.4416,0.0043,-0.0396,-0.0001,-0.0002
8.27,"","","",177.2998,-0.0457,177.3645,-1.4416,0.0043,-0.0396,-0.0001,-0.0003
8.30,"","","",177.3135,0.1370,177.3501,-1.4416,0.0043,-0.0396,-0.0001,-0.0002
8.33,"","","",177.2907,0.3655,177.3501,-1.3455,0.0042,-0.0396,-0.0002,-0.0003
8.37,"","","",177.3044,0.5482,177.3597,-1.2494,0.0042,-0.0396,-0.0001,-0.0003
8.40,"","","",177.3318,0.6395,177.3837,-1.2494,0.0041,-0.0396,-0.0002,-0.0003
8.43,"","","",177.3135,0.7309,177.4029,-1.2494,0.0043,-0.0396,-0.0001,-0.0002
8.47,"","","",177.2176,1.0507,177.3789,-1.2494,0.0043,-0.0395,-0.0001,-0.0002
8.50,"","","",177.1262,1.5075,177.3549,-1.2494,0.0042,-0.0396,-0.0002,-0.0002
8.53,"","","",177.1217,2.0100,177.3501,-1.2974,0.0042,-0.0395,-0.0001,-0.0002
8.57,"","","",177.1810,2.2841,177.3549,-1.3455,0.0041,-0.0395,-0.0002,-0.0002
8.60,"","","",177.2450,2.4211,177.3404,-1.3455,0.0041,-0.0395,-0.0002,-0.0002
8.63,"","","",177.2541,2.4668,177.3164,-1.2013,0.0042,-0.0394,-0.0001,-0.0002
8.67,"","","",177.2678,2.4211,177.3260,-1.1533,0.0043,-0.0395,-0.0001,-0.0002
8.70,"","","",177.2724,2.3754,177.3404,-1.2013,0.0043,-0.0395,-0.0001,-0.0002
8.73,"","","",177.2541,2.3298,177.3356,-1.2013,0.0043,-0.0396,-0.0001,-0.0002
8.77,"","","",177.2450,2.4211,177.3356,-1.2013,0.0043,-0.0395,-0.0001,-0.0002
8.80,"","","",177.2541,2.4211,177.3501,-1.1052,0.0043,-0.0395,-0.0001,-0.0002
8.83,"","","",177.2404,2.4668,177.3693,-1.0091,0.0044,-0.0397,0.0000,-0.0003
8.87,"","","",177.2587,2.5582,177.3597,-0.9130,0.0043,-0.0395,-0.0001,-0.0002
8.90,"","","",177.2724,2.5582,177.3741,-0.8650,0.0044,-0.0396,0.0000,-0.0002
8.93,"","","",177.2176,2.6039,177.3741,-0.8169,0.0045,-0.0394,0.0000,-0.0001
8.97,"","","",177.2359,2.5582,177.3549,-0.6247,0.0043,-0.0393,-0.0001,-0.0001
9.00,"","","",177.2587,2.4211,177.3308,-0.4325,0.0043,-0.0393,-0.0001,-0.0001
9.03,"","","",177.2861,2.2384,177.3501,-0.3844,0.0043,-0.0393,-0.0001,-0.0001
9.07,"","","",177.2724,2.0100,177.3501,-0.3844,0.0043,-0.0395,-0.0001,-0.0002
9.10,"","","",177.2222,1.9643,177.3308,-0.3364,0.0044,-0.0394,0.0000,-0.0001
9.13,"","","",177.2130,1.9186,177.3260,-0.1442,0.0044,-0.0394,-0.0001,-0.0002
9.17,"","","",177.2176,1.9186,177.3020,0.0000,0.0044,-0.0394,0.0000,-0.0001
9.20,"","","",177.2130,1.8273,177.2876,0.2403,0.0044,-0.0394,0.0000,-0.0001
9.23,"","","",177.1856,1.7359,177.2972,0.4325,0.0043,-0.0394,-0.0001,-0.0001
9.27,"","","",177.2039,1.6445,177.2684,0.7208,0.0044,-0.0394,0.0000,-0.0002
9.30,"","","",177.2313,1.5075,177.2732,0.9130,0.0044,-0.0393,-0.0001,-0.0001
9.33,"","","",177.1993,1.3248,177.2828,1.0091,0.0044,-0.0393,-0.0001,-0.0001
9.37,"","","",177.1948,1.1420,177.3020,1.1052,0.0044,-0.0392,-0.0001,-0.0001
9.40,"","","",177.2085,0.9593,177.2972,1.1533,0.0044,-0.0392,0.0000,0.0000
9.43,"","","",177.2176,0.8680,177.3068,1.0572,0.0043,-0.0392,-0.0001,0.0000
9.47,"","","",177.2404,0.8223,177.3308,0.9611,0.0043,-0.0393,-0.0001,-0.0001
9.50,"","","",177.2130,0.8223,177.3164,0.9611,0.0044,-0.0392,0.0000,0.0000
9.53,"","","",177.2085,0.8680,177.3164,0.9611,0.0044,-0.0391,0.0000,0.0000
9.57,"","","",177.2085,0.8223,177.3356,0.9130,0.0044,-0.0391,0.0000,0.0000
9.60,"","","",177.2130,0.7766,177.3452,0.8169,0.0045,-0.0390,0.0000,0.0000
9.63,"","","",177.2085,0.6852,177.3356,0.8169,0.0046,-0.0392,0.0001,0.0000
9.67,"","","",177.1354,0.7309,177.3212,0.8169,0.0052,-0.0391,0.0003,0.0000
9.70,"","","",177.0760,0.8680,177.3356,0.7689,0.0504,-0.0390,0.0230,0.0000
9.73,"T 0.5","Both","",177.0897,0.9136,177.3116,0.6727,0.4259,-0.0391,0.2111,0.0000
9.77,"","","",177.2039,0.7309,177.2780,0.6727,0.4877,-0.0391,0.2421,0.0000
9.80,"","","",177.2724,0.6395,177.2636,0.6727,0.4834,-0.0392,0.2399,0.0000
9.83,"","","",177.2633,0.7309,177.2588,0.7689,0.4787,-0.0392,0.2375,0.0000
9.87,"","","",177.3272,0.7309,177.2684,0.8169,0.4749,-0.0393,0.2357,-0.0001
9.90,"","","",177.3501,0.5482,177.2972,0.7689,0.4720,-0.0393,0.2342,-0.0001
9.93,"","","",177.3044,0.4111,177.2876,0.8169,0.4692,-0.0392,0.2328,0.0000
9.97,"","","",177.2633,0.2741,177.2684,0.9130,0.4665,-0.0153,0.2314,0.0118
10.00,"","","",177.2587,0.1827,177.2395,1.0091,0.4644,0.4253,0.2304,0.2297
10.03,"","","",177.2222,0.0914,177.3308,0.9611,0.4621,0.5312,0.2292,0.2821
10.07,"","","",177.1948,0.1370,177.3837,0.7689,0.4601,0.5288,0.2282,0.2809
10.10,"","","",177.1719,0.1827,177.4173,0.5766,0.4582,0.5243,0.2273,0.2787
10.13,"T 1.0","Both","",177.1993,0.1827,177.4317,0.2883,0.4564,0.5202,0.2264,0.2766
10.17,"","","",177.2176,0.1370,177.4221,0.0000,0.4547,0.5162,0.2255,0.2747
10.20,"","","",177.2085,0.1370,177.4510,-0.2883,0.4532,0.5127,0.2248,0.2729
10.23,"","","",177.2222,0.0000,177.4606,-0.6727,0.4516,0.5094,0.2240,0.2713
10.27,"","","",177.2404,0.0000,177.4317,-0.9611,0.4503,0.5063,0.2233,0.2698
10.30,"","","",177.2450,-0.0914,177.4414,-1.2013,0.7854,0.5034,0.3912,0.2683
10.33,"","","",177.2313,-0.1827,177.4462,-1.3935,1.0388,0.5006,0.5181,0.2670
10.37,"","","",177.3135,-0.4568,177.4606,-1.6819,1.0381,0.4982,0.5178,0.2658
10.40,"","","",177.3866,-0.8680,177.4654,-1.9702,1.0315,0.4960,0.5144,0.2647
10.43,"","","",177.4232,-1.2334,177.4702,-2.1624,1.0258,0.5455,0.5116,0.2892
10.47,"","","",177.4460,-1.5532,177.4510,-2.3546,1.0206,0.9945,0.5090,0.5113
10.50,"","","",177.4734,-1.9643,177.5375,-2.5949,1.0160,1.0588,0.5067,0.5431
10.53,"T 1.5","Both","",177.4688,-2.3298,177.6432,-3.0274,1.0116,1.0530,0.5045,0.5402
10.57,"","","",177.4414,-2.5582,177.7008,-3.5559,1.0078,1.0464,0.5026,0.5369
10.60,"","","",177.3820,-2.6952,177.7201,-3.9884,1.0085,1.0402,0.5029,0.5339
10.63,"","","",177.3912,-2.8779,177.6912,-4.3248,1.4123,1.0347,0.7052,0.5311
10.67,"","","",177.5237,-3.2434,177.6816,-4.6612,1.5620,1.0296,0.7802,0.5286
10.70,"","","",177.6287,-3.7459,177.6816,-4.9975,1.5559,1.0248,0.7771,0.5262
10.73,"","","",177.6561,-4.2941,177.7153,-5.3339,1.5478,1.0205,0.7731,0.5241
10.77,"","","",177.6653,-4.8423,177.7249,-5.6703,1.5405,1.0165,0.7694,0.5221
10.80,"","","",177.6470,-5.3448,177.7153,-6.0067,1.5341,1.0126,0.7662,0.5202
10.83,"","","",177.6287,-5.7102,177.7056,-6.2469,1.5283,1.3527,0.7633,0.6884
10.87,"","","",177.6653,-6.0757,177.7873,-6.5833,1.5229,1.5502,0.7606,0.7861
10.90,"","","",177.6744,-6.4868,177.8883,-7.1119,1.5180,1.5467,0.7582,0.7844
10.93,"","","",177.6607,-6.7609,177.9267,-7.6885,1.5136,1.5389,0.7560,0.7805
10.97,"T 2.0","Both","",177.6424,-6.9893,177.9507,-8.2171,1.5096,1.5317,0.7540,0.7769
11.00,"","","",177.6105,-6.9893,177.9796,-8.7457,1.5055,1.5252,0.7519,0.7738
11.03,"","","",177.6333,-6.8523,177.9555,-9.1782,1.6010,1.5191,0.7997,0.7707
11.07,"","","",177.6105,-6.6695,177.9027,-9.4184,1.9844,1.5138,0.9918,0.7681
11.10,"","","",177.6973,-6.8066,177.8786,-9.4665,2.0123,1.5090,1.0057,0.7657
11.13,"","","",177.7658,-7.1263,177.8642,-9.4184,2.0044,1.5045,1.0018,0.7635
11.17,"","","",177.8252,-7.5375,177.9027,-9.3704,1.9972,1.5006,0.9982,0.7616
11.20,"","","",177.8754,-8.0857,177.9171,-9.3223,1.9905,1.4967,0.9949,0.7597
11.23,"","","",177.8754,-8.6338,177.9171,-9.2743,1.9847,1.5157,0.9919,0.7690
11.27,"","","",177.8845,-9.0450,177.9075,-9.1301,1.9794,1.9230,0.9893,0.9705
11.30,"","","",177.8663,-9.3191,177.9940,-9.0340,1.9747,1.9960,0.9869,1.0066
11.33,"","","",177.8571,-9.4561,178.0612,-8.9379,1.9703,1.9897,0.9847,1.0035
11.37,"","","",177.8571,-9.5018,178.0997,-8.9860,1.9664,1.9823,0.9827,0.9998
11.40,"","","",177.8526,-9.4561,178.1670,-9.2262,1.9630,1.9758,0.9811,0.9966
11.43,"","","",177.8389,-9.2277,178.2390,-9.5626,1.9596,1.9702,0.9794,0.9938
11.47,"","","",177.8297,-8.9993,178.2727,-9.9470,1.9563,1.9651,0.9777,0.9913
11.50,"","","",177.8343,-8.7709,178.2727,-10.1873,1.9535,1.9604,0.9763,0.9890
11.53,"","","",177.8069,-8.4054,178.2390,-10.3795,1.9508,1.9561,0.9750,0.9869
11.57,"","","",177.7749,-7.9486,178.1670,-10.3795,1.9482,1.9526,0.9737,0.9851
11.60,"","","",177.7475,-7.4004,178.1525,-10.2353,1.9459,1.9488,0.9725,0.9833
11.63,"","","",177.7475,-6.8523,178.1670,-10.0431,1.9436,1.9457,0.9714,0.9817
11.67,"","","",177.7247,-6.1670,178.2102,-9.8990,1.9414,1.9427,0.9703,0.9803
11.70,"","","",177.6973,-5.5275,178.1718,-9.6106,1.9395,1.9397,0.9693,0.9788
11.73,"","","",177.7064,-5.0250,178.1525,-9.2743,1.9376,1.9373,0.9684,0.9776
11.77,"","","",177.7658,-4.6595,178.1093,-8.7457,1.9358,1.9348,0.9675,0.9764
11.80,"","","",177.7795,-4.3854,178.0805,-8.1210,1.9342,1.9326,0.9666,0.9753
11.83,"","","",177.7292,-3.9743,178.0805,-7.5924,1.9327,1.9305,0.9659,0.9742
11.87,"","","",177.6835,-3.4718,178.1045,-7.2080,1.9312,1.9286,0.9651,0.9733
11.90,"","","",177.6744,-2.8779,178.1333,-7.0158,1.9300,1.9266,0.9645,0.9723
11.93,"","","",177.6607,-2.1470,178.1333,-6.7755,1.9287,1.9248,0.9639,0.9714
11.97,"","","",177.6744,-1.4161,178.1333,-6.4391,1.9271,1.9231,0.9631,0.9705
12.00,"","","",177.7110,-0.9593,178.1141,-6.0547,1.9260,1.9215,0.9626,0.9698
12.03,"","","",177.6835,-0.6852,178.1093,-5.5742,1.9250,1.9198,0.9620,0.9689
12.07,"","","",177.6470,-0.3655,178.1141,-5.1417,1.9239,1.9185,0.9615,0.9683
12.10,"","","",177.6333,0.0000,178.1237,-4.7092,1.9229,1.9169,0.9610,0.9675
12.13,"","","",177.5968,0.4111,178.1525,-4.2767,1.9216,1.9155,0.9603,0.9668
12.17,"","","",177.5739,0.9136,178.1525,-3.7482,1.9203,1.9142,0.9597,0.9662
12.20,"","","",177.6561,1.1877,178.1333,-3.3637,1.9194,1.9129,0.9592,0.9655
12.23,"","","",177.7018,1.3705,178.1045,-3.0274,1.9187,1.9119,0.9589,0.9650
12.27,"","","",177.7247,1.5075,178.0901,-2.7390,1.9179,1.9108,0.9585,0.9645
12.30,"","","",177.7247,1.7359,178.0997,-2.5468,1.9169,1.9097,0.9580,0.9639
12.33,"","","",177.6927,2.0557,178.1045,-2.3546,1.9162,1.9087,0.9576,0.9634
12.37,"","","",177.6607,2.4211,178.0612,-2.0182,1.9156,1.9077,0.9573,0.9629
12.40,"","","",177.6653,2.7866,178.0420,-1.5858,1.9149,1.9068,0.9570,0.9625
12.43,"Pyruvate","Both","",177.6744,3.0150,178.0709,-1.1052,1.9143,1.9059,0.9567,0.9621
12.47,"","","",177.6653,3.1064,178.0757,-0.5766,1.9137,1.9050,0.9564,0.9616
12.50,"","","",177.6333,3.1520,178.0612,-0.0961,1.8895,1.9042,0.9443,0.9612
12.53,"","","",177.6881,2.9693,178.0516,0.3844,1.8045,1.9032,0.9017,0.9607
12.57,"","","",177.8845,2.3754,178.0468,0.9130,1.7563,1.9026,0.8775,0.9604
12.60,"","","",177.9713,1.6445,178.0420,1.4416,1.7298,1.9016,0.8643,0.9599
12.63,"","","",177.9759,0.9593,178.0420,1.8260,1.7105,1.9007,0.8546,0.9595
12.67,"","","",177.9576,0.3198,178.0420,2.1143,1.6940,1.8919,0.8463,0.9551
12.70,"","","",177.9485,-0.3198,178.0084,2.3546,1.6794,1.7589,0.8390,0.8893
12.73,"","","",177.9394,-0.8680,178.1958,2.1143,1.6662,1.6331,0.8324,0.8271
12.77,"","","",177.9257,-1.4161,178.2919,1.5858,1.6538,1.5659,0.8262,0.7939
12.80,"","","",177.8845,-1.8273,178.2823,1.0091,1.6422,1.5244,0.8204,0.7734
12.83,"","","",177.8389,-2.1470,178.2583,0.4805,1.6316,1.4931,0.8151,0.7579
12.87,"","","",177.7840,-2.3754,178.2198,0.0961,1.6216,1.4666,0.8101,0.7448
12.90,"","","",177.7338,-2.3754,178.1670,-0.0961,1.6123,1.4430,0.8054,0.7331
12.93,"","","",177.7292,-2.3754,178.0949,-0.0961,1.6033,1.4223,0.8009,0.7228
12.97,"","","",177.7018,-2.2841,178.0084,0.0000,1.5950,1.4042,0.7967,0.7139
13.00,"","","",177.6744,-2.1470,177.9603,0.1442,1.5873,1.3885,0.7928,0.7061
13.03,"","","",177.6516,-1.8729,177.9171,0.3364,1.5798,1.3748,0.7891,0.6994
13.07,"","","",177.6196,-1.5989,177.8450,0.7208,1.5728,1.3632,0.7856,0.6936
13.10,"","","",177.5922,-1.4161,177.7585,1.3455,1.5664,1.3530,0.7824,0.6886
13.13,"","","",177.5876,-1.2334,177.7008,2.0663,1.5603,1.3442,0.7793,0.6842
13.17,"","","",177.5693,-0.9136,177.6816,2.7871,1.5548,1.3364,0.7766,0.6804
13.20,"","","",177.5100,-0.4568,177.6192,3.5079,1.5496,1.3295,0.7740,0.6770
13.23,"","","",177.4506,0.1370,177.5519,4.3248,1.5448,1.3234,0.7716,0.6739
13.27,"","","",177.4506,0.7309,177.5230,5.0936,1.5402,1.3177,0.7693,0.6711
13.30,"","","",177.4186,1.3248,177.4942,5.8625,1.5360,1.3128,0.7672,0.6687
13.33,"","","",177.3820,1.8729,177.4365,6.6794,1.5323,1.3081,0.7653,0.6664
13.37,"","","",177.3546,2.5582,177.3597,7.6405,1.5286,1.3038,0.7635,0.6643
13.40,"","","",177.3135,3.2891,177.2876,8.6015,1.5253,1.2999,0.7618,0.6623
13.43,"","","",177.2541,4.1570,177.2155,9.6587,1.5222,1.2963,0.7602,0.6605
13.47,"","","",177.2313,5.1164,177.2059,10.5237,1.5191,1.2930,0.7587,0.6589
13.50,"","","",177.2176,6.0757,177.1530,11.4367,1.5165,1.2897,0.7574,0.6573
13.53,"","","",177.1856,6.8979,177.0906,12.3977,1.5139,1.2868,0.7561,0.6558
13.57,"","","",177.1491,7.6745,177.0281,13.4549,1.5116,1.2839,0.7549,0.6544
13.60,"","","",177.1399,8.4054,176.9848,14.5121,1.5093,1.2811,0.7538,0.6530
13.63,"","","",177.1491,8.9993,176.9608,15.4731,1.5069,1.2785,0.7526,0.6517
13.67,"","","",177.1171,9.6845,176.8984,16.4342,1.5048,1.2761,0.7515,0.6506
13.70,"","","",177.0805,10.4611,176.8215,17.4914,1.5028,1.2737,0.7506,0.6494
13.73,"","","",177.0303,11.2834,176.7686,18.5966,1.5010,1.2715,0.7497,0.6483
13.77,"","","",176.9572,12.1057,176.7638,19.5096,1.4994,1.2694,0.7488,0.6472
13.80,"","","",176.9207,12.9736,176.7206,20.3746,1.4975,1.2673,0.7479,0.6462
13.83,"","","",176.9207,13.8416,176.6773,21.2395,1.4959,1.2653,0.7471,0.6452
13.87,"","","",176.9070,14.5725,176.6100,22.1045,1.4943,1.2634,0.7463,0.6442
13.90,"","","",176.8887,14.8466,176.5139,23.0175,1.4929,1.2616,0.7456,0.6434
13.93,"","","",176.8430,14.9836,176.4803,23.8825,1.4915,1.2598,0.7449,0.6425
13.97,"","","",176.8019,15.0750,176.4611,24.6033,1.4902,1.2581,0.7442,0.6416
14.00,"","","",176.7516,15.1663,176.4034,25.2760,1.4888,1.2564,0.7435,0.6408
14.03,"","","",176.7014,15.2577,176.3121,26.0449,1.4875,1.2549,0.7429,0.6401
14.07,"","","",176.6374,15.3491,176.2208,26.4773,1.4862,1.2536,0.7422,0.6394
14.10,"","","",176.5963,15.4404,176.1487,26.6215,1.4852,1.2522,0.7417,0.6387
14.13,"","","",176.5872,15.4861,176.0959,26.7176,1.4841,1.2508,0.7412,0.6380
14.17,"","","",176.6055,15.4861,176.0430,26.7656,1.4830,1.2494,0.7406,0.6374
14.20,"","","",176.5689,15.5318,176.0094,26.7176,1.4820,1.2483,0.7401,0.6368
14.23,"","","",176.5187,15.6688,175.9517,26.6695,1.4810,1.2471,0.7396,0.6362
14.27,"","","",176.5095,15.7145,175.8892,26.6695,1.4798,1.2460,0.7390,0.6357
14.30,"","","",176.5095,15.6688,175.8412,26.7176,1.4787,1.2450,0.7385,0.6352
14.33,"","","",176.4867,15.6231,175.7643,26.8137,1.4778,1.2437,0.7380,0.6345
14.37,"","","",176.4090,15.6688,175.6970,26.8618,1.4768,1.2427,0.7375,0.6340
14.40,"","","",176.3496,15.7602,175.6586,26.9579,1.4759,1.2417,0.7371,0.6335
14.43,"","","",176.3405,15.8059,175.5817,27.1020,1.4751,1.2407,0.7367,0.6330
14.47,"","","",176.3131,15.7602,175.5000,27.3423,1.4743,1.2396,0.7363,0.6325
14.50,"","","",176.2674,15.7602,175.4375,27.5345,1.4733,1.2388,0.7358,0.6321
14.53,"","","",176.2263,15.7602,175.3703,27.7748,1.4727,1.2379,0.7355,0.6316
14.57,"Malate","Both","",176.2035,15.8516,175.3078,28.0150,1.4716,1.2369,0.7349,0.6312
14.60,"","","",176.1532,15.8972,175.2453,28.2072,1.4654,1.2362,0.7318,0.6308
14.63,"","","",176.1167,15.9886,175.1973,28.3514,1.4178,1.2354,0.7080,0.6304
14.67,"","","",176.0710,16.0800,175.1396,28.4956,1.3669,1.2346,0.6824,0.6300
14.70,"","","",176.0436,16.1256,175.0916,28.6397,1.3394,1.2338,0.6687,0.6296
14.73,"","","",176.0070,16.2170,175.0435,28.7839,1.3242,1.2331,0.6610,0.6292
14.77,"","","",175.9431,16.4454,175.0147,28.9280,1.3149,1.1660,0.6564,0.5961
14.80,"","","",175.8791,16.6738,174.9954,28.9280,1.3090,1.0661,0.6534,0.5467
14.83,"","","",175.8060,16.9479,174.9330,28.9280,1.3047,1.0261,0.6513,0.5269
14.87,"","","",175.7192,17.3134,174.8128,29.0722,1.3014,1.0088,0.6496,0.5183
14.90,"","","",175.6644,17.7245,174.6543,29.4086,1.3000,1.0004,0.6489,0.5142
14.93,"","","",175.5548,18.1813,174.5149,29.8891,1.2981,0.9949,0.6480,0.5114
14.97,"","","",175.4771,18.6381,174.3948,30.3696,1.2970,0.9915,0.6474,0.5098
15.00,"","","",175.4177,19.0950,174.2602,30.9463,1.2962,0.9891,0.6471,0.5086
15.03,"","","",175.3081,19.6888,174.1161,31.7151,1.2958,0.9871,0.6468,0.5076
15.07,"","","",175.2670,20.2370,173.9767,32.6281,1.2954,0.9855,0.6466,0.5068
15.10,"","","",175.2670,20.7852,173.8518,33.4450,1.2954,0.9842,0.6466,0.5062
